n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split,funding_p8h,bh_return,max_dd_pct,final_equity
179,0.2737,1.201,-0.95,0.476,-0.3615,-64.7,71.77,25.0,0.346,AVAX/USDT:USDT,C2_MTF_SWEEP,ALL,4.3e-05,-0.4039,0.5157,5180.45
138,0.2899,1.279,-0.931,0.561,-0.2901,-40.03,47.1,25.0,0.319,AVAX/USDT:USDT,C2_MTF_SWEEP,TRAIN,4.3e-05,-0.4039,0.3789,6643.59
41,0.2195,0.855,-1.012,0.238,-0.6017,-24.67,24.48,25.0,0.439,AVAX/USDT:USDT,C2_MTF_SWEEP,TEST,4.3e-05,-0.4039,0.2188,7797.67
583,0.4374,1.228,-0.934,1.023,0.012,6.97,55.7,25.0,0.358,AVAX/USDT:USDT,C2_MTF_BASE,ALL,4.3e-05,-0.4039,0.4225,10298.7
438,0.4406,1.221,-0.926,1.038,0.0199,8.71,55.7,25.0,0.37,AVAX/USDT:USDT,C2_MTF_BASE,TRAIN,4.3e-05,-0.4039,0.3788,10587.53
145,0.4276,1.251,-0.955,0.978,-0.012,-1.74,40.04,25.0,0.324,AVAX/USDT:USDT,C2_MTF_BASE,TEST,4.3e-05,-0.4039,0.2836,9727.2
355,0.3746,1.331,-0.895,0.891,-0.061,-21.64,51.05,20.9,0.583,LTC/USDT:USDT,C1_BOS_H4v2,ALL,7.7e-05,-0.491,0.4115,7852.12
213,0.3568,1.308,-0.9,0.807,-0.1119,-23.84,41.74,21.0,0.648,LTC/USDT:USDT,C1_BOS_H4v2,TRAIN,7.7e-05,-0.491,0.3483,7763.65
142,0.4014,1.361,-0.887,1.029,0.0154,2.19,37.71,20.6,0.486,LTC/USDT:USDT,C1_BOS_H4v2,TEST,7.7e-05,-0.491,0.316,10113.95
119,0.2773,0.923,-0.963,0.368,-0.44,-52.36,63.71,25.0,0.605,LTC/USDT:USDT,C2_MTF_SWEEP,ALL,7.7e-05,-0.491,0.4738,5885.45
86,0.186,0.745,-0.975,0.175,-0.6551,-56.34,55.3,25.0,0.535,LTC/USDT:USDT,C2_MTF_SWEEP,TRAIN,7.7e-05,-0.491,0.4272,5668.02
33,0.5152,1.091,-0.91,1.274,0.1208,3.98,12.4,25.0,0.788,LTC/USDT:USDT,C2_MTF_SWEEP,TEST,7.7e-05,-0.491,0.0875,10383.61
492,0.4878,1.147,-0.92,1.188,0.0886,43.59,123.26,25.0,0.486,LTC/USDT:USDT,C2_MTF_BASE,ALL,7.7e-05,-0.491,0.5485,14964.53
321,0.4361,1.016,-0.946,0.83,-0.0906,-29.07,78.61,25.0,0.48,LTC/USDT:USDT,C2_MTF_BASE,TRAIN,7.7e-05,-0.491,0.5485,7339.64
171,0.5848,1.332,-0.852,2.201,0.4249,72.66,75.74,25.0,0.497,LTC/USDT:USDT,C2_MTF_BASE,TEST,7.7e-05,-0.491,0.1459,20388.65
